0,0.009961933939165732
100,0.0011035711564911061
200,0.00011956527632319138
300,1.2954176283200382e-05
400,1.403506840252098e-06
500,1.5206149797336048e-07
600,1.6474945830509084e-08
700,1.7849609778654106e-09
800,1.9338975225048094e-10
900,2.0952612824190476e-11
1000,2.2700891802778517e-12
1100,2.4595046592303336e-13
1200,2.664724902144737e-14
1300,2.8870686532191205e-15
1400,3.1279646922246277e-16
1500,3.388961015836753e-17
1600,3.6717347850538015e-18
1700,3.978103102624625e-19
1800,4.310034689741289e-20
1900,4.669662537031074e-21
2000,5.059297611142982e-22
2100,5.481443705007233e-23
2200,5.938813527195415e-24
2300,6.434346133771478e-25
2400,6.97122581465045e-26
2500,7.552902555828653e-27
2600,8.183114208975515e-28
2700,8.865910510848653e-29
2800,9.605679106880938e-30
2900,1.0407173746166867e-30
3000,1.1275544829029172e-31
3100,1.2216372503464113e-32
3200,1.3235702523143068e-33
3300,1.434008509739368e-34
3400,1.553661698281049e-35
3500,1.6832987086975346e-36
3600,1.8237525877336935e-37
3700,1.9759258912750661e-38
3800,2.14079648416722e-39
3900,2.3194238239700957e-40
4000,2.5129557690266846e-41
4100,2.7226359545946953e-42
4200,2.949811784440149e-43
4300,3.195943089246867e-44
4400,3.4626115074807597e-45
4500,3.751530648990247e-46
4600,4.06455710665409e-47
4700,4.403702386837473e-48
4800,4.77114583532125e-49
4900,5.169248641766457e-50
5000,5.600569012706604e-51
5100,6.06787861056937e-52
5200,6.574180364364717e-53
5300,7.122727766490893e-54
5400,7.71704577965938e-55
5500,8.360953488286714e-56
5600,9.058588639910766e-57
5700,9.814434234334597e-58
5800,1.0633347331359529e-58
5900,1.1520590262225812e-59
6000,1.2481864445325394e-60
6100,1.3523347023486433e-61
6200,1.465173055826051e-62
6300,1.5874266036287836e-63
6400,1.7198809464099137e-64
6500,1.8633872350772202e-65
6600,2.018867640284425e-66
6700,2.1873212782949517e-67
6800,2.3698306312977606e-68
6900,2.5675685034321856e-69
7000,2.7818055572211418e-70
7100,3.0139184788417883e-71
7200,3.265398824703653e-72
7300,3.537862606182236e-73
7400,3.833060674099579e-74
7500,4.1528899696824196e-75
7600,4.499405714296501e-76
7700,4.874834616288227e-77
7800,5.281589179800726e-78
7900,5.722283207512776e-79
8000,6.199748596921006e-80
8100,6.717053538098267e-81
8200,7.277522229866854e-82
8300,7.884756241082591e-83
8400,8.542657654297303e-84
8500,9.25545414052069e-85
8600,1.0027726126211965e-85
8700,1.086443622707605e-86
8800,1.177096113780597e-87
8900,1.27531261826945e-88
9000,1.3817242749137438e-89
9100,1.4970148844575612e-90
9200,1.6219253037494658e-91
9300,1.7572582064847017e-92
9400,1.9038832411821221e-93
9500,2.0627426195409821e-94
9600,2.234857171088348e-95
9700,2.42133290302425e-96
9800,2.6233681074181165e-97
9900,2.8422610614272845e-98
10000,3.079418370019163e-99
